timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
115,-0.07000007,-2.2,-1.5767837,0.0214,44.0,28.481817,0.0,30.0,3133.0,952.0,1.0,218.06047,50.0,77,10,<unknown>,<unknown>,20,6,18,5
116,-0.20500003,-2.2,-1.5273101,0.0241,44.0,26.918182,0.0,39.0,2961.0,952.0,1.0,212.2226,90.0,78,10,<unknown>,<unknown>,18,6,18,5
117,-0.38000003,-2.2,-1.4352752,0.0276,44.0,24.518183,0.0,74.0,2697.0,952.0,1.0,201.36247,50.0,80,10,<unknown>,<unknown>,17,6,17,5
118,-0.435,-1.85,-1.430276,0.0287,37.0,28.81081,0.0,59.0,2665.0,806.0,1.0,200.77257,10.0,81,10,<unknown>,<unknown>,17,6,17,5
119,-0.47500005,-1.85,-1.4454215,0.0295,37.0,30.724325,0.0,136.0,2842.0,805.0,1.0,202.55974,10.0,78,10,<unknown>,<unknown>,16,5,18,5
120,-0.5,-1.75,-1.3978045,0.03,35.0,33.2,0.0,109.0,2905.0,763.0,1.0,196.94093,10.0,79,10,<unknown>,<unknown>,17,5,17,5
121,-0.51500005,-1.75,-1.4829605,0.0303,35.0,35.165714,0.0,56.0,3077.0,766.0,1.0,206.98933,70.0,79,10,<unknown>,<unknown>,17,5,18,4
122,-0.495,-1.75,-1.4075904,0.0299,35.0,36.17143,0.0,74.0,3165.0,764.0,1.0,198.09567,70.0,77,10,<unknown>,<unknown>,18,5,19,4
123,-0.51500005,-1.75,-1.5178468,0.0303,35.0,39.485714,0.0,57.0,3455.0,766.0,1.0,211.10593,30.0,76,10,<unknown>,<unknown>,20,5,20,4
124,-0.52000004,-1.75,-1.4587424,0.0304,35.0,41.21143,0.0,99.0,3606.0,765.0,1.0,204.1316,70.0,75,10,<unknown>,<unknown>,20,5,20,4
125,-0.5,-1.75,-1.5228915,0.03,35.0,43.748573,0.0,59.0,3828.0,765.0,1.0,211.7012,70.0,74,10,<unknown>,<unknown>,21,5,21,4
126,-0.51500005,-1.75,-1.4828283,0.0303,35.0,44.0,0.0,59.0,3850.0,766.0,1.0,206.97374,30.0,74,10,<unknown>,<unknown>,23,5,23,4
127,-0.335,-1.75,-1.6123372,0.0267,35.0,47.931427,0.0,40.0,4194.0,766.0,1.0,222.2558,10.0,72,10,<unknown>,<unknown>,24,5,24,4
128,-0.5,-1.75,-1.4974294,0.03,35.0,47.165714,0.0,52.0,4127.0,767.0,1.0,208.69667,90.0,72,10,<unknown>,<unknown>,23,5,23,4
129,-0.5,-1.75,-1.5186582,0.03,35.0,46.8,0.0,77.0,4095.0,767.0,1.0,211.20166,30.0,72,10,<unknown>,<unknown>,25,5,25,4
130,-0.505,-1.75,-1.5022231,0.0301,35.0,48.057144,0.0,82.0,4205.0,766.0,1.0,209.26233,10.0,71,10,<unknown>,<unknown>,25,5,25,4
131,-0.485,-1.75,-1.4981729,0.0297,35.0,46.93714,0.0,61.0,4107.0,766.0,1.0,208.7844,30.0,70,10,<unknown>,<unknown>,26,5,26,4
132,-0.495,-1.75,-1.5048769,0.0299,35.0,47.634285,0.0,49.0,4168.0,766.0,1.0,209.57547,50.0,71,10,<unknown>,<unknown>,28,5,28,4
133,-0.5,-1.75,-1.501304,0.03,35.0,46.77714,0.0,103.0,4093.0,767.0,1.0,209.15387,90.0,73,10,<unknown>,<unknown>,27,5,28,4
134,-0.51000005,-1.75,-1.4862577,0.0302,35.0,46.33143,0.0,75.0,4054.0,766.0,1.0,207.3784,70.0,76,10,<unknown>,<unknown>,16,5,20,4
